,ID,name,email,field
0,144605904,J. Manyika,Zachary.May@miller.com,Regular school
1,2145774899,Chengjie Chen,Jonathan.Wheeler@snow.org,Regular school
2,2149052058,Hao Chen,Kenneth.Smith@coleman-cain.com,Regular school
3,2153911296,Yi Zhang,Shawn.Taylor@wright.com,Regular school
4,40451574,Hannah R Thomas,Elizabeth.Fields@curtis.org,Regular school
5,143915524,Margaret H. Frank,Nicole.Richardson@price.org,Regular school
6,4098270,Yehua He,Adam.Faulkner@smith-leach.org,Regular school
7,144304984,Rui Xia,Cynthia.Carter@gillespie.com,Special education school
8,47666658,Hsinchun Chen,Jeffrey.Thompson@garcia.biz,Regular school
9,145802082,R. Chiang,Catherine.Vargas@shaw.biz,Regular school
10,1764975,V. Storey,Brandon.Sullivan@williams.info,Regular school
11,2269971203,Wasnaa Kadhim Jawad,Natasha.Ball@lee.info,Regular school
12,2261850659,Abbas M. Al-Bakry,David.Nixon@howe.com,Regular school
13,3132693,Andrew P. McAfee,Michelle.Romero@wade.info,Regular school
14,2841157,Erik Brynjolfsson,Jack.Rogers@castro.com,Regular school
15,2150744,D. Acharjya,Sarah.Ponce@turner.com,Regular school
16,2285074747,P. KauserAhmed,Katie.Bell@brown-walker.net,Regular school
17,46251839,Arsalan Zahid Piprani,Nicholas.Vargas@avila.net,Regular school
18,2237403667,Amjad Ali,Randall.Hawkins@fields.net,Regular school
19,2283455003,Adeel Shah,Karen.Anthony@young-dillon.com,Special education school
20,2855934,Ali Hassani,Jennifer.Meyers@nunez.com,Career and Technical School
21,102471415,Steven Walton,Rebecca.Moore@hoover.com,Regular school
22,2087066452,Nikhil Shah,Barry.Thompson@owens.com,Regular school
23,133551208,Abulikemu Abuduweili,Norman.Smith@montgomery.com,Regular school
24,2125031571,Jiachen Li,Megan.Swanson@fox.com,Regular school
25,48667025,Humphrey Shi,Joseph.Mills@walls.com,Regular school
26,1764455,A. Gandomi,Charles.Reid@stevenson.info,Regular school
27,39060992,Murtaza Haider,Tracy.Barton@sanchez-yang.org,Regular school
28,2416504,Kornelia M. Batko,Anthony.Robinson@huff-martinez.biz,Regular school
29,2079538975,A. Ślęzak,Erin.Ibarra@drake.com,Special education school
30,2289710033,Kenneth Cukier,Michael.Herrera@mathis.com,Regular school
31,34859953,Yisheng Lv,John.Martin@ramirez-dominguez.com,Regular school
32,2241838,Y. Duan,Robert.Peterson@lane.org,Regular school
33,1903243,Wenwen Kang,Lindsay.Wagner@hill.com,Regular school
34,2146248481,Z. Li,Matthew.Chung@brooks.com,Regular school
35,143769760,Feiyue Wang,Robert.Hill@williams.info,Regular school
36,38818867,D. Boyd,Michael.Thomas@randolph.com,Regular school
37,48024382,K. Crawford,Tammy.Hernandez@williams.biz,Regular school
38,120550117,T. Doyle,Carlos.Jenkins@webster.org,Regular school
39,50556355,F. Tao,Ashley.Smith@williams-baker.com,Regular school
40,49776606,Jiangfeng Cheng,Kelsey.Aguirre@mcfarland.com,Regular school
41,29011153,Qinglin Qi,Amanda.Bullock@evans.com,Regular school
42,47474337,Meng Zhang,John.Rivera@lee.info,Regular school
43,2153527172,He Zhang,Lindsay.Barron@martinez.com,Regular school
44,50470670,Fangyuan Sui,Kimberly.Hall@luna.info,Regular school
45,9139705,Amina Adadi,Steven.Hernandez@smith.org,Regular school
46,1399003993,F. Emmert-Streib,Elizabeth.Johnston@bennett-brown.com,Regular school
47,1698784963,Zhenyi Yang,Felicia.Lopez@hicks.net,Regular school
48,2113276011,Han Feng,Derrick.Reyes@lee.com,Regular school
49,89377594,S. Tripathi,Jackie.Castro@winters.com,Regular school
50,1792351,M. Dehmer,Tammy.Figueroa@salinas.org,Regular school
51,119723024,John T. Hancock,Brandon.White@vargas.biz,Regular school
52,1725285,T. Khoshgoftaar,Steven.Miller@anderson.biz,Regular school
53,2275848903,Itay Goldstein,Jennifer.Long@hendricks-burns.com,Regular school
54,102309470,Chester Spatt,Benjamin.Rogers@wells.com,Regular school
55,2240347692,Mao Ye,Emily.Wilson@bryant-boone.info,Regular school
56,39466716,Lida Xu,Jonathan.Anderson@snow-terry.biz,Regular school
57,2055791334,Lian Duan,Eric.Wilson@rhodes-robertson.com,Regular school
58,48724197,A. Sandhu,Shawn.Williams@garrett-roman.info,Regular school
59,1763674,E. Deutsch,Kaitlyn.Barton@nguyen.org,Regular school
60,2865038,N. Bandeira,Rose.Moore@solis.com,Regular school
61,33582313,Vagisha Sharma,Stephanie.Moore@rivera.com,Regular school
62,1390051934,Yasset Pérez-Riverol,Renee.Warner@george-norris.com,Regular school
63,31411209,Jeremy Carver,Maria.Lara@wilson.net,Regular school
64,1605658912,D. J. Kundu,Lauren.Cook@martinez.info,Regular school
65,1402417041,D. García-Seisdedos,Steven.Brewer@carter-maldonado.com,Regular school
66,4007395,Andrew F. Jarnuczak,Christine.Brewer@booth.org,Regular school
67,13084208,S. Hewapathirana,Stephanie.Juarez@fox-moore.info,Regular school
68,39268701,B. Pullman,Veronica.Levy@chandler.com,Regular school
69,151067942,J. Wertz,Christopher.Thompson@pierce.org,Regular school
70,14948487,Zhi Sun,William.Ruiz@jones.biz,Regular school
71,46994990,S. Kawano,Cynthia.Mathews@frye.com,Regular school
72,48576550,Shujiro Okuda,Valerie.Hodges@gardner.biz,Alternative Education School
73,49701119,Yu Watanabe,Patricia.Cooke@wheeler.org,Regular school
74,1785886,H. Hermjakob,Jill.Simmons@todd.com,Regular school
75,144252544,B. MacLean,Christopher.Williams@harris.com,Regular school
76,2167765,M. MacCoss,Philip.Adkins@murray.com,Regular school
77,2762241,Yun-ping Zhu,Joshua.Norman@adams.net,Regular school
78,91596213,Y. Ishihama,Jessica.Zhang@price.com,Regular school
79,3245770,J. Vizcaíno,Joseph.Mcdowell@reese.com,Regular school
80,2143716975,Jin Wang,Tanya.Casey@cuevas-rodriguez.com,Regular school
81,47795877,Yaqiong Yang,Sarah.Richards@chavez.com,Regular school
82,2118913820,Tian Wang,Jonathan.Lester@boyle.com,Regular school
83,145165793,R. Sherratt,Jacqueline.Lang@simmons.org,Regular school
84,2108122564,Jingyu Zhang,Elizabeth.Christensen@rios.com,Regular school
85,2424691,Patrick Mikalef,Anthony.Wood@manning.info,Regular school
86,52222865,Maria Boura,Brandon.Jackson@simon.com,Regular school
87,3357578,G. Lekakos,Robert.Krause@collins-hobbs.info,Regular school
88,1716522,J. Krogstie,Kenneth.Brown@garner-hunt.com,Regular school
